Point,X,Y
1,0.938850327,-0.005285651
2,1.137810272,0
3,1.335003781,-0.01420574
4,1.533107838,-0.051220261
5,1.73624797,-0.109943808
6,1.936587857,-0.206783969
7,2.091096197,-0.368591487
8,2.211862396,-0.560666049
9,2.251922733,-0.783949561
10,2.27892408,-1.005553005
11,2.262092831,-1.229188955
12,2.205791451,-1.447925294
13,2.101454116,-1.649440655
14,1.944309013,-1.812051746
15,1.748812912,-1.919983035
16,1.538869485,-1.973795595
17,1.337078327,-2.007313001
18,1.137810272,-2.020201472
19,0.942483397,-1.987538971
20,0.751682215,-1.937748597
21,0.550097057,-1.8851441
22,0.35221936,-1.791152466
23,0.187682642,-1.640411763
24,0.068254789,-1.448577392
25,0.011514202,-1.229594526
26,0,-1.005553005
27,0.006263968,-0.780476696
28,0.072092578,-0.564118283
29,0.185599645,-0.369307623
30,0.347217763,-0.214960496
31,0.541306796,-0.112822424
32,0.739592702,-0.044170746
